Transaction_ID,Latitude,Longitude,Transaction_Amount,Transaction_Time,Fraud
1,13.0827,80.2707,5000,09:10,0
2,13.083,80.271,7000,09:15,0
3,13.0825,80.2705,6500,09:20,0
4,13.0831,80.2712,7200,09:25,0
5,13.0829,80.2709,6800,09:30,0
6,13.0674,80.2376,40000,01:10,1
7,13.0678,80.2378,42000,01:15,1
8,13.0675,80.2375,45000,01:18,1
9,13.0679,80.2377,43000,01:20,1
10,13.068,80.238,47000,01:25,1
11,13.05,80.22,2000,12:00,0
12,13.09,80.29,3000,13:00,0
13,13.2,80.4,60000,02:00,1
14,13.3,80.5,1000,14:00,0
15,13.0828,80.2708,7500,10:00,0
16,13.0832,80.2713,7100,10:05,0
17,13.0676,80.2374,41000,01:30,1
18,13.0677,80.2379,44000,01:35,1
19,13.0826,80.2706,6900,10:10,0
20,13.5,80.7,90000,03:00,1
