Earthquake_ID,Latitude,Longitude,Magnitude,Depth
1,34.0522,-118.2437,4.5,10
2,34.0525,-118.244,4.8,12
3,34.052,-118.2435,5,11
4,34.0528,-118.2442,4.7,13
5,34.0523,-118.2438,5.1,9
6,37.7749,-122.4194,6.2,20
7,37.7752,-122.4197,6,18
8,37.775,-122.4195,6.3,19
9,37.7753,-122.4198,6.1,17
10,37.7751,-122.4196,6.4,21
11,40.7128,-74.006,2.5,5
12,41,-75,3,7
13,50,-130,7.2,35
14,60,-140,7.8,40
15,34.0524,-118.2439,4.9,10
16,34.0526,-118.2441,5.2,11
17,37.7754,-122.4199,6.5,22
18,37.7755,-122.42,6.3,20
19,34.0521,-118.2436,4.6,12
20,70,-150,8.1,50
