Ship_ID,Latitude,Longitude,Speed,Route_Type
1,13.0827,80.2707,45,Normal
2,13.083,80.271,46,Normal
3,13.0825,80.2705,44,Normal
4,13.0831,80.2712,47,Normal
5,13.0829,80.2709,45,Normal
6,15.5,82.3,60,Cargo
7,15.5005,82.3005,62,Cargo
8,15.5002,82.3002,61,Cargo
9,15.5008,82.3008,63,Cargo
10,15.5004,82.3004,60,Cargo
11,20,85,30,Fishing
12,20.1,85.1,32,Fishing
13,35,100,90,Suspicious
14,40,110,95,Suspicious
15,13.0828,80.2708,46,Normal
16,13.0832,80.2713,47,Normal
17,15.5006,82.3006,61,Cargo
18,15.5007,82.3007,62,Cargo
19,13.0826,80.2706,45,Normal
20,50,120,120,Unknown
