Person_ID,X_Coordinate,Y_Coordinate,Area,Time
1,10,15,Entrance,10:00
2,11,16,Entrance,10:01
3,10.5,15.5,Entrance,10:02
4,11.2,16.1,Entrance,10:03
5,10.8,15.8,Entrance,10:04
6,50,55,FoodCourt,10:00
7,51,56,FoodCourt,10:01
8,50.5,55.5,FoodCourt,10:02
9,51.2,56.1,FoodCourt,10:03
10,50.8,55.8,FoodCourt,10:04
11,90,20,Parking,10:05
12,91,21,Parking,10:06
13,150,160,RestrictedZone,10:10
14,200,210,RestrictedZone,10:11
15,10.9,15.9,Entrance,10:05
16,11.1,16.2,Entrance,10:06
17,50.7,55.7,FoodCourt,10:05
18,51.1,56.2,FoodCourt,10:06
19,10.7,15.7,Entrance,10:07
20,250,260,EmergencyExit,10:15
