Age,Income,Loan_Amount,Credit_Score,Account_Balance,EMI,Missed_Payments,Risk_Score
25,35000,10000,720,15000,2000,1,30
40,60000,25000,680,30000,4500,2,45
30,45000,15000,700,22000,3000,1,35
50,80000,40000,650,50000,7000,3,60
28,38000,12000,710,18000,2500,1,32
45,75000,35000,660,45000,6500,3,58
35,50000,18000,690,25000,3500,2,40
55,90000,50000,620,60000,8500,4,75
27,36000,11000,715,17000,2200,1,31
48,82000,42000,640,52000,7200,3,65
33,47000,16000,705,23000,3200,1,36
52,87000,47000,630,57000,8000,4,72
29,40000,13000,708,19000,2600,1,33
42,68000,30000,670,38000,5500,2,50
37,53000,20000,685,27000,3800,2,42
58,95000,55000,610,65000,9000,5,80
31,46000,15500,702,22500,3100,1,34
46,78000,36000,655,47000,6800,3,59
39,56000,22000,675,29000,4200,2,44
60,100000,60000,600,70000,9500,5,85
