Customer_ID,Monthly_Transactions,Average_Transaction_Amount,Credit_Usage_Percentage,Monthly_Savings,Loan_Amount,Account_Balance
C001,45,1200,35,25000,100000,450000
C002,12,400,80,5000,300000,25000
C003,65,2500,20,55000,50000,850000
C004,23,700,60,12000,150000,150000
C005,90,3200,15,85000,20000,1200000
C006,30,1000,50,18000,120000,250000
C007,15,350,90,3000,400000,10000
C008,70,2700,25,60000,30000,950000
C009,40,1500,45,22000,80000,350000
C010,10,250,95,2000,500000,5000
C011,85,3000,18,78000,25000,1100000
C012,35,1100,55,20000,90000,280000
C013,18,500,75,7000,250000,60000
C014,60,2400,22,50000,40000,780000
C015,95,3500,10,90000,10000,1400000
C016,28,900,58,15000,130000,200000
C017,14,300,88,4000,350000,20000
C018,72,2800,19,62000,35000,990000
C019,42,1600,40,24000,70000,400000
C020,8,200,98,1000,600000,3000
