Student_ID,Video_Watch_Hours,Quiz_Score,Login_Frequency,Assignment_Submission,Discussion_Participation,Course_Completion,Engagement_Level,Cluster
S001,25,88,20,90,15,85,High,0
S002,10,45,8,40,3,35,Low,1
S003,18,72,15,75,10,70,Medium,0
S004,30,95,25,98,18,95,High,2
S005,8,40,6,35,2,30,Low,1
S006,20,78,16,80,12,75,Medium,0
S007,28,92,22,95,17,90,High,2
S008,12,50,9,45,4,40,Low,1
S009,22,82,18,85,13,80,Medium,0
S010,35,98,28,100,20,98,High,2
S011,7,38,5,30,1,25,Low,1
S012,19,75,14,78,11,72,Medium,0
S013,32,96,26,99,19,96,High,2
S014,9,42,7,38,2,32,Low,1
S015,21,80,17,82,12,78,Medium,0
S016,27,90,21,94,16,88,High,2
S017,11,48,8,42,3,36,Low,1
S018,23,84,19,87,14,82,Medium,0
S019,33,97,27,100,20,97,High,2
S020,6,35,4,25,1,20,Low,1
