Student_ID,Video_Watch_Hours,Quiz_Score,Login_Frequency,Assignment_Submission,Discussion_Participation,Course_Completion,Engagement_Level
S001,25,88,20,90,15,85,High
S002,10,45,8,40,3,35,Low
S003,18,72,15,75,10,70,Medium
S004,30,95,25,98,18,95,High
S005,8,40,6,35,2,30,Low
S006,20,78,16,80,12,75,Medium
S007,28,92,22,95,17,90,High
S008,12,50,9,45,4,40,Low
S009,22,82,18,85,13,80,Medium
S010,35,98,28,100,20,98,High
S011,7,38,5,30,1,25,Low
S012,19,75,14,78,11,72,Medium
S013,32,96,26,99,19,96,High
S014,9,42,7,38,2,32,Low
S015,21,80,17,82,12,78,Medium
S016,27,90,21,94,16,88,High
S017,11,48,8,42,3,36,Low
S018,23,84,19,87,14,82,Medium
S019,33,97,27,100,20,97,High
S020,6,35,4,25,1,20,Low
