Zone_ID,Population_Density,Traffic_Movement,Residential_Buildings,Commercial_Buildings,Green_Area_Percentage,Public_Transport_Usage,Area_Type,Cluster
Z001,12000,850,500,300,10,80,Commercial,0
Z002,4500,300,700,100,35,40,Residential,1
Z003,9000,700,450,250,15,70,Mixed,2
Z004,3500,250,800,80,40,35,Residential,1
Z005,15000,950,400,350,8,90,Commercial,0
Z006,7000,500,600,180,20,60,Mixed,2
Z007,3000,200,850,60,45,30,Residential,1
Z008,14000,920,420,340,9,88,Commercial,0
Z009,8000,650,550,220,18,68,Mixed,2
Z010,2800,180,900,50,50,25,Residential,1
Z011,16000,980,380,360,7,92,Commercial,0
Z012,7500,520,620,200,22,62,Mixed,2
Z013,3200,220,870,70,42,32,Residential,1
Z014,14500,940,410,345,8,89,Commercial,0
Z015,8500,680,530,230,17,69,Mixed,2
Z016,4000,270,760,90,38,37,Residential,1
Z017,15500,970,390,355,6,91,Commercial,0
Z018,7800,540,610,210,21,64,Mixed,2
Z019,3600,240,820,75,43,34,Residential,1
Z020,14800,960,405,348,7,90,Commercial,0
