Tourist_ID,Trips_Per_Year,Average_Budget,Adventure_Score,Beach_Score,Historical_Score,Luxury_Score,Preferred_Destination
T001,5,50000,9,3,4,5,Adventure
T002,2,20000,2,8,3,2,Beach
T003,4,70000,6,5,9,7,Historical
T004,1,15000,1,9,2,1,Beach
T005,6,120000,8,6,5,10,Luxury
T006,3,35000,7,4,6,4,Adventure
T007,2,18000,2,7,3,2,Beach
T008,5,85000,5,5,10,8,Historical
T009,4,60000,8,4,5,6,Adventure
T010,1,12000,1,10,1,1,Beach
T011,7,150000,9,5,6,10,Luxury
T012,3,40000,6,4,8,5,Historical
T013,2,22000,3,8,4,2,Beach
T014,5,95000,7,5,9,8,Historical
T015,6,130000,8,6,5,10,Luxury
T016,3,30000,7,3,5,4,Adventure
T017,1,10000,1,9,2,1,Beach
T018,5,90000,6,5,10,9,Historical
T019,4,65000,9,4,5,6,Adventure
T020,1,14000,2,10,1,1,Beach
