Area_Sqft,Bedrooms,Bathrooms,Parking_Spaces,Age_Of_Property,Distance_To_City,Nearby_Schools,Crime_Rate,Property_Price
800,2,1,1,15,12,3,7,3500000
900,2,2,1,14,11,4,6,4000000
1000,3,2,1,13,10,4,6,4500000
1100,3,2,2,12,9,5,5,5000000
1200,3,3,2,11,8,5,5,5500000
1300,4,3,2,10,7,6,4,6000000
1400,4,3,2,9,6,6,4,6500000
1500,4,4,3,8,5,7,3,7000000
1600,5,4,3,7,4,7,3,7500000
1700,5,4,3,6,3,8,2,8000000
1800,5,5,4,5,3,8,2,8500000
1900,6,5,4,4,2,9,2,9000000
2000,6,5,4,4,2,9,2,9500000
2100,6,6,5,3,1,10,1,10000000
2200,7,6,5,3,1,10,1,10500000
2300,7,6,5,2,1,10,1,11000000
2400,7,7,6,2,1,10,1,11500000
2500,8,7,6,1,1,10,1,12000000
2600,8,8,6,1,1,10,1,12500000
2700,8,8,7,1,1,10,1,13000000
