Ad_Spend,Social_Media_Clicks,Email_Clicks,Website_Visits,Customer_Age,Time_Spent_Minutes,Previous_Purchases,Discount_Offered,Conversion_Rate
5000,1200,300,2500,22,15,1,5,8
7000,1500,350,3000,24,18,2,7,10
9000,1800,400,3500,26,20,2,8,12
11000,2100,450,4000,28,22,3,10,15
13000,2400,500,4500,30,25,3,12,18
15000,2700,550,5000,32,27,4,14,20
17000,3000,600,5500,34,30,4,15,23
19000,3300,650,6000,36,32,5,16,25
21000,3600,700,6500,38,35,5,18,28
23000,3900,750,7000,40,37,6,20,30
25000,4200,800,7500,42,40,6,22,33
27000,4500,850,8000,44,42,7,24,35
29000,4800,900,8500,46,45,7,25,38
31000,5100,950,9000,48,47,8,26,40
33000,5400,1000,9500,50,50,8,28,43
35000,5700,1050,10000,52,52,9,30,45
37000,6000,1100,10500,54,55,9,32,48
39000,6300,1150,11000,56,57,10,34,50
41000,6600,1200,11500,58,60,10,35,53
43000,6900,1250,12000,60,62,11,36,55
