Material_Cost,Labor_Cost,Project_Duration_Days,Equipment_Cost,Transport_Cost,Site_Area_Sqft,Total_Project_Cost
50000,30000,30,10000,5000,1200,98000
60000,35000,35,12000,6000,1400,113000
70000,40000,40,14000,7000,1600,131000
80000,45000,45,16000,8000,1800,149000
90000,50000,50,18000,9000,2000,167000
100000,55000,55,20000,10000,2200,185000
110000,60000,60,22000,11000,2400,203000
120000,65000,65,24000,12000,2600,221000
130000,70000,70,26000,13000,2800,239000
140000,75000,75,28000,14000,3000,257000
150000,80000,80,30000,15000,3200,275000
160000,85000,85,32000,16000,3400,293000
170000,90000,90,34000,17000,3600,311000
180000,95000,95,36000,18000,3800,329000
190000,100000,100,38000,19000,4000,347000
200000,105000,105,40000,20000,4200,365000
210000,110000,110,42000,21000,4400,383000
220000,115000,115,44000,22000,4600,401000
230000,120000,120,46000,23000,4800,419000
240000,125000,125,48000,24000,5000,437000
